Nome_Fundo,Percentual_Rentabilidade_Efetiva_Mes
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,-0.01
BRAZIL REAL ESTATE VICTORY FUND I - FII,0.0
CAIXA RIO BRAVO FUNDO DE FII,-0.01
CAIXA RIO BRAVO FUNDO DE FII II,-0.0
CATUAI FUNDO DE INVESTIMENTO IMOBILIARIO,0.0
CF2 FUNDO DE INVESTIMENTO IMOBILIARIO,0.01
DOVEL FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.02
EMPRO FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.0
FII MULTI RENDA URBANA,0.01
FII PRESIDENTE VARGAS,0.01
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,0.0
FUNDO DE INVEST. IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA,0.0
FUNDO DE INVESTIMENTO IMOBILIARIO - VBI LOGISTICO,0.01
FUNDO DE INVESTIMENTO IMOBILIARIO RIOBRAVO RENDA CORPORATIVA,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SIA CORPORATE,-0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII VITACON,-0.05
FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI LOGISTICO,0.06
FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA,-0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL LAND,-0.02
FUNDO DE INVESTIMENTO IMOBILIÁRIO CDURP,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO GV BLUE CHIP,-0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO HIERON BERLIM,-0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO HOUSI,-0.02
FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO JAPURÁ,-0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO QUINTAS,-0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO SUCCESPAR VAREJO,0.0
GOLDEN WEST VX FUNDO DE INVESTIMENTO IMOBILIARIO,-0.0
IMMOB I  FII,-0.02
IMMOB II  FII,-0.0
IMMOB III FUNDO DE INVESTIMENTO IMOBILIARIO - FII,-0.0
IMMOB IV BRAGANÇA FI IMOBILIARIO,-0.0
IMMOB V DESENVOLVIMENTO FII,-0.0
JBFO FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
JPP FII,0.01
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.01
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,0.01
RB CAPITAL PETROS FII,-0.0
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.01
RIO BRAVO IFIX FUNDO DE FUNDOS DE INVESTIMENTI IMOBILIARIO,-0.13
RIO BRAVO RENDA RESIDENCIAL FII,0.0
SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
TELLUS PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.01
TREECORP REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - I,-0.0
VX VI - FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.02
VX XII - FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
VX XVI - FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.0
XP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.01
XPCE RE FII 2 - FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.01
XPCE RE FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.0
YAGUARA CAPITAL HIGH YIELD FUNDO DE INVESTIMENTO IMOBILIARIO,0.01
